presented	onset	offset
fix_S	4890	6903
lt1	7186	9198
lt5	9448	11461
lt6	11660	13673
lt7	13873	15886
lt8	16085	18098
lt3	18298	20310
lt4	21059	23072
lt2	23288	25301
fix_S	26715	28728
lt1	28894	30907
lt4	31073	33086
lt6	33269	35282
lt5	35465	37478
lt8	37644	39657
lt2	39856	41869
lt7	42085	44098
lt3	44281	46294
fix_S	47625	49638
lt2	49804	51817
lt5	51983	53996
lt8	54179	56192
lt7	56358	58371
lt1	58537	60550
lt3	60716	62729
lt6	62896	64908
lt4	65075	67088
fix_S	68418	70431
lt2	70614	72627
lt4	72793	74806
lt3	74972	76985
lt6	77152	79164
lt8	79331	81344
lt5	81527	83539
lt7	83706	85719
lt1	85885	87898
fix_S	89295	91308
lt2	91474	93487
lt3	93670	95683
lt5	95866	97879
lt7	98062	100074
lt4	100241	102253
lt6	102420	104433
lt8	104599	106612
lt1	106778	108791
fix_S	110122	112135
lt2	112301	114314
lt6	114480	116493
lt7	116659	118672
lt4	118838	120851
lt8	121018	123030
lt5	123197	125210
lt1	125376	127389
lt3	127572	129584
fix_S	130932	132945
lt1	133128	135141
lt4	135323	137336
lt5	137503	139515
lt7	139682	141695
lt8	141894	143907
lt6	144073	146086
lt3	146253	148265
lt2	148432	150445
fix_S	151775	153788
lt3	153954	155967
lt7	156134	158146
lt1	158297	160309
lt6	160475	162488
lt5	162654	164667
lt4	164834	166846
lt8	167013	169026
lt2	169192	171205
