presented	onset	offset
fix_D	5238	7251
lt3	7484	9497
lt1	9696	11709
lt5	11909	13922
lt8	14138	16151
lt7	16350	18363
lt6	18579	20592
lt4	20842	22855
lt2	23054	25067
fix_D	26465	28477
lt7	28643	30656
lt1	30839	32852
lt4	33018	35031
lt2	35214	37227
lt8	37393	39406
lt6	39573	41585
lt5	41768	43781
lt3	43948	45960
fix_D	47308	49321
lt3	49487	51500
lt1	51666	53679
lt4	53845	55858
lt5	56024	58037
lt8	58204	60216
lt7	60399	62412
lt2	62578	64591
lt6	64774	66787
fix_D	68151	70164
lt7	70330	72343
lt3	72509	74522
lt8	74689	76701
lt1	76868	78881
lt2	79047	81060
lt5	81226	83239
lt6	83422	85435
lt4	85601	87614
fix_D	88945	90957
lt7	91124	93137
lt4	93303	95316
lt3	95532	97545
lt6	97711	99724
lt1	99907	101920
lt2	102086	104099
lt8	104282	106295
lt5	106461	108474
fix_D	109821	111834
lt6	112000	114013
lt4	114180	116192
lt2	116359	118372
lt3	118538	120551
lt7	120734	122747
lt5	122929	124942
lt1	125126	127138
lt8	127354	129367
fix_D	130715	132727
lt1	132894	134907
lt4	135090	137102
lt7	137285	139298
lt8	139465	141477
lt6	141644	143656
lt2	143823	145836
lt3	146019	148031
lt5	148214	150227
fix_D	151558	153571
lt5	153754	155767
lt1	155933	157946
lt8	158112	160125
lt7	160308	162321
lt6	162487	164500
lt2	164666	166679
lt3	166845	168858
lt4	169041	171054
