presented	onset	offset
fix_D	6626	8639
lt4	8839	10851
lt5	11068	13080
lt6	13297	15309
lt7	15526	17539
lt1	17805	19818
lt3	20034	22047
lt2	22246	24259
lt8	24442	26455
fix_D	27819	29832
lt3	29998	32011
lt6	32177	34190
lt4	34356	36369
lt8	36535	38548
lt1	38715	40727
lt7	40894	42907
lt2	43073	45086
lt5	45252	47265
fix_D	48596	50609
lt1	50775	52788
lt2	52954	54967
lt7	55133	57146
lt8	57312	59325
lt4	59491	61504
lt5	61671	63683
lt3	63850	65863
lt6	66029	68042
fix_D	69389	71402
lt1	71585	73598
lt4	73781	75794
lt5	75960	77973
lt7	78156	80169
lt3	80335	82348
lt6	82514	84527
lt8	84693	86706
lt2	86872	88885
fix_D	90233	92245
lt2	92412	94425
lt6	94591	96604
lt7	96770	98783
lt8	98949	100962
lt3	101128	103141
lt4	103324	105337
lt1	105503	107516
lt5	107683	109695
fix_D	111093	113105
lt1	113272	115285
lt6	115451	117464
lt4	117630	119643
lt2	119809	121822
lt3	121988	124001
lt5	124168	126180
lt7	126347	128360
lt8	128526	130539
fix_D	131870	133882
lt7	134049	136061
lt8	136261	138274
lt2	138457	140470
lt6	140653	142666
lt1	142832	144845
lt4	145011	147024
lt5	147190	149203
lt3	149369	151382
fix_D	152713	154726
lt2	154892	156905
lt5	157071	159084
lt3	159250	161263
lt4	161430	163442
lt1	163609	165622
lt8	165788	167801
lt6	167967	169980
lt7	170146	172159
