presented	onset	offset
fix_S	5715	7728
lt6	7944	9957
lt5	10173	12186
lt7	12419	14432
lt2	14715	16727
lt4	16960	18973
lt1	19190	21202
lt8	21418	23431
lt3	23647	25660
fix_S	27024	29037
lt4	29253	31266
lt1	31449	33462
lt7	33645	35658
lt6	35824	37837
lt5	38053	40066
lt2	40249	42262
lt3	42445	44458
lt8	44624	46637
fix_S	47984	49997
lt2	50197	52209
lt1	52376	54389
lt3	54555	56568
lt6	56734	58747
lt5	58913	60926
lt7	61092	63105
lt8	63272	65284
lt4	65451	67464
fix_S	68811	70824
lt3	70990	73003
lt2	73186	75199
lt8	75382	77394
lt1	77577	79590
lt6	79807	81819
lt5	81986	83999
lt7	84198	86211
lt4	86394	88407
fix_S	89771	91784
lt5	91950	93963
lt2	94146	96159
lt3	96342	98354
lt6	98537	100550
lt4	100716	102729
lt7	102896	104908
lt1	105075	107088
lt8	107254	109267
fix_S	110631	112644
lt7	112844	114856
lt2	115039	117052
lt6	117218	119231
lt8	119414	121427
lt5	121593	123606
lt1	123772	125785
lt4	125951	127964
lt3	128147	130160
fix_S	131507	133520
lt3	133703	135716
lt4	135899	137912
lt2	138095	140108
lt7	140307	142320
lt5	142520	144533
lt6	144732	146745
lt8	146945	148957
lt1	149140	151153
fix_S	152517	154530
lt6	154696	156709
lt5	156892	158905
lt3	159071	161084
lt2	161317	163330
lt7	163513	165526
lt4	165692	167705
lt1	167938	169950
lt8	170133	172146
