#FileVersion:	2
#Fileformat:	2558
#Subject:	                                                                                
## Date:	September 19, 2008
#Description:	                                                                                
## of Pts Recorded:	10346                                                                           
#Offset Of Calibration Area:	0	0
#Size Of Calibration Area:	800	600
#Sample Rate:	60
#
#Time	Set	Pupil H	Pupil V	C.R. H	C.R. V	ScreenH	ScreenV	Diam H	Diam V
1949	0	5220	4250	0	0	0	0	2015	1550
1966	0	5254	4167	4912	4000	374	392	1782	1651
1982	0	5254	4139	0	0	0	0	1825	1797
1999	0	5273	4131	4918	4010	364	317	1817	1872
2016	0	5268	4121	4919	4024	368	293	1786	1940
2032	0	5262	4111	4925	4029	383	283	1785	1924
2049	0	5259	4113	4925	4037	387	278	1746	1949
2065	0	5261	4117	4920	4041	384	276	1716	1875
2082	0	5263	4120	4918	4042	382	276	1742	1872
2099	0	5260	4122	4916	4045	382	275	1724	1916
2115	0	5254	4123	4912	4050	384	273	1695	1941
2132	0	5254	4125	4916	4031	385	279	1727	1911
2149	0	5262	4127	4922	4063	385	266	1723	1942
2165	0	5253	4134	4921	4055	392	276	1744	1915
2182	0	5256	4141	4917	4056	391	282	1746	1917
2199	0	5256	4139	4922	4057	394	281	1749	1940
2215	0	5264	4141	4920	4065	386	276	1745	1915
2232	0	5303	4081	4952	4011	375	268	1754	1939
2249	0	5321	4054	4973	4016	376	216	1801	1890
2265	0	5309	4047	4950	4019	375	212	1766	1914
2282	0	5311	4048	4943	4026	368	208	1735	1858
2299	0	5308	4047	4942	4027	368	205	1753	1886
2315	0	5309	4047	4943	4028	365	203	1720	1886
2332	0	5306	4051	4942	4027	366	205	1749	1931
2349	0	5302	4055	4941	4035	369	204	1720	1914
2365	0	5296	4054	4942	4039	372	199	1726	1855
2382	0	5302	4059	4940	4039	365	198	1700	1853
2399	0	5300	4062	4941	4042	367	199	1694	1855
2415	0	5299	4058	4941	4042	370	199	1705	1851
2432	0	5304	4057	4943	4039	367	198	1696	1906
2449	0	5297	4056	4941	4039	373	199	1721	1881
2465	0	5301	4051	4941	4036	369	197	1720	1849
2482	0	5303	4052	4938	4028	368	201	1744	1914
2499	0	5307	4055	4939	4032	365	204	1736	1882
2515	0	5274	4057	4941	4040	397	186	1715	1889
2532	0	5236	4062	4920	4041	424	205	1729	1888
2549	0	5230	4065	4921	4041	431	204	1697	1852
2565	0	5226	4068	4916	4040	430	204	1691	1885
2582	0	5225	4071	4919	4041	433	206	1721	1883
2599	0	5222	4078	4919	4045	435	211	1695	1880
2615	0	5230	4077	4918	4048	431	209	1684	1851
2632	0	5223	4075	4917	4047	436	208	1694	1881
2649	0	5227	4074	4918	4047	433	206	1698	1854
2665	0	5226	4071	4913	4047	432	204	1713	1822
2682	0	5226	4070	4917	4047	432	203	1683	1879
2699	0	5225	4070	4919	4046	432	204	1691	1882
2715	0	5216	4070	4918	4045	443	205	1714	1879
2732	0	5226	4069	4920	4045	434	205	1693	1849
2749	0	5167	4069	4890	4043	477	207	1708	1857
2765	0	5135	4065	4861	4046	477	203	1691	1882
2782	0	5131	4065	4862	4053	481	196	1693	1843
2799	0	5129	4067	4859	4055	482	196	1692	1880
2815	0	5131	4068	4858	4056	482	195	1690	1854
2832	0	5138	4066	4861	4057	480	191	1685	1847
2849	0	5129	4066	4861	4055	483	190	1691	1848
2865	0	5132	4071	4861	4056	482	193	1687	1847
2882	0	5137	4073	4859	4060	479	193	1657	1849
2899	0	5134	4074	4861	4063	480	194	1656	1815
2915	0	5144	4073	4859	4063	470	192	1635	1848
2932	0	5139	4074	4862	4060	474	191	1662	1815
2949	0	5143	4076	4862	4061	475	194	1686	1821
2965	0	5140	4075	4862	4061	473	195	1627	1821
2982	0	5139	4072	4859	4060	474	194	1628	1818
2999	0	5160	4076	4873	4063	473	194	1662	1778
3015	0	5300	4149	4940	4073	371	262	1650	1790
3032	0	5326	4141	4969	4087	367	250	1628	1793
3049	0	5318	4153	4944	4099	357	249	1625	1842
3065	0	5317	4154	4943	4104	355	249	1617	1813
3082	0	5305	4154	4942	4103	360	248	1659	1814
3099	0	5306	4153	4943	4103	361	248	1658	1788
3115	0	5310	4151	4941	4103	359	245	1613	1790
3132	0	5307	4150	4941	4104	358	242	1620	1789
3149	0	5304	4145	4942	4103	357	233	1685	1789
3165	0	5301	4140	4929	4096	354	230	1650	1790
3182	0	5296	4138	4931	4086	356	237	1628	1783
3198	0	5297	4130	4927	4082	359	235	1631	1815
3215	0	5294	4125	4927	4082	360	235	1618	1815
3232	0	5296	4124	4927	4078	359	236	1654	1818
3248	0	5291	4119	4927	4078	360	234	1630	1790
3265	0	5293	4120	4927	4082	359	231	1630	1818
3282	0	5255	4193	4921	4117	397	278	1666	1854
3298	0	5204	4259	0	0	0	0	1658	1849
3315	0	5189	4272	4888	4160	432	342	1676	1821
3332	0	5177	4278	4889	4152	441	348	1652	1842
3348	0	5189	4278	4884	4152	426	348	1702	1820
3365	0	5180	4276	4883	4153	431	347	1703	1844
3382	0	5171	4272	4883	4153	444	344	1687	1852
3398	0	5182	4272	4887	4152	434	342	1675	1850
3415	0	5183	4271	4878	4148	428	341	1718	1851
3432	0	5180	4266	4883	4147	431	341	1686	1852
3448	0	5180	4267	4878	4147	429	341	1740	1853
3465	0	5181	4267	4880	4145	429	341	1692	1884
3482	0	5178	4264	4878	4145	430	340	1713	1879
3498	0	5182	4260	4878	4145	429	335	1747	1854
3515	0	5181	4259	4877	4143	428	335	1742	1887
3532	0	5179	4260	4880	4141	429	335	1751	1916
3548	0	5176	4260	4882	4143	432	336	1776	1940
3565	0	5179	4263	4873	4138	428	339	1756	1913
3582	0	2700	6243	4871	4135	0	0	866	1175
3598	0	5218	4235	4894	4109	412	343	1750	1942
3615	0	5263	4226	4925	4126	390	314	1771	1946
3632	0	5268	4203	4925	4112	387	299	1783	1948
3648	0	5267	4197	4924	4108	383	295	1783	1951
3665	0	5259	4196	4924	4108	388	294	1814	1950
3682	0	5266	4194	4925	4107	383	292	1806	1944
3698	0	2722	6298	4924	4107	0	0	974	1077
3715	0	5271	4202	4925	4106	377	293	1809	1971
3732	0	5261	4194	4924	4107	386	292	1810	1970
3748	0	5259	4193	4923	4108	388	291	1782	1944
3765	0	5262	4192	4924	4108	386	289	1783	1975
3782	0	5258	4191	4925	4106	391	288	1764	1971
3798	0	5261	4186	4924	4106	390	286	1784	1977
3815	0	5267	4187	4925	4106	386	285	1845	1949
3832	0	5262	4190	4924	4106	389	286	1783	1981
3848	0	5263	4186	4924	4107	388	285	1812	1943
3865	0	5267	4185	4924	4107	385	282	1801	1951
3882	0	5262	4188	4925	4106	386	283	1789	1973
3898	0	5255	4192	4924	4106	392	287	1787	1980
3915	0	5259	4188	4924	4102	390	287	1821	1949
3932	0	5257	4183	4924	4101	393	286	1813	1983
3948	0	5260	4182	4921	4102	389	284	1785	1980
3965	0	5259	4181	4924	4101	390	283	1810	1957
3982	0	5261	4177	4924	4098	390	281	1852	1978
3998	0	5259	4173	4925	4096	390	279	1842	1975
4015	0	5257	4176	4923	4096	392	279	1845	2032
4032	0	5257	4176	4924	4098	393	278	1841	2011
4048	0	5257	4177	4925	4103	394	277	1843	2009
4065	0	5258	4180	4924	4104	394	277	1842	1980
4082	0	5228	4184	4913	4104	423	281	1827	2004
4098	0	5170	4185	4867	4106	438	284	1840	1978
4115	0	2702	6276	4865	4108	0	0	908	1143
4132	0	5167	4175	4863	4108	440	283	1847	2039
4148	0	5169	4183	4864	4109	440	283	1844	2012
4165	0	5172	4185	4864	4108	437	284	1840	2009
4182	0	5168	4186	4864	4105	439	286	1845	2014
4198	0	5163	4184	4862	4106	441	285	1843	1984
4215	0	5164	4185	4864	4108	444	285	1844	2007
4231	0	5171	4182	4863	4108	439	284	1879	2007
4248	0	5172	4178	4865	4107	438	281	1872	2008
4265	0	5171	4179	4864	4106	437	280	1852	2007
4282	0	5170	4178	4866	4105	438	278	1885	2010
4298	0	5179	4175	4869	4105	434	276	1819	2009
4315	0	5174	4174	4863	4102	433	275	1847	2012
4331	0	5174	4176	4863	4104	432	275	1901	2006
4348	0	5173	4178	4864	4105	433	276	1874	2010
4365	0	5171	4179	4864	4105	435	276	1845	2008
4381	0	5170	4182	4866	4111	437	277	1841	2070
4398	0	5170	4186	4864	4113	438	278	1873	2002
4415	0	5169	4189	4865	4113	439	279	1849	2038
4431	0	5166	4187	4864	4113	442	280	1846	2034
4448	0	5168	4184	4864	4111	442	280	1854	2010
4465	0	5165	4180	4863	4109	443	280	1842	2013
4481	0	5174	4208	4877	4096	438	334	1850	1875
4498	0	5164	4569	4875	4051	356	768	1759	911
4515	0	0	0	0	0	0	0	0	0
4531	0	0	0	0	0	0	0	0	0
4548	0	0	0	0	0	0	0	0	0
4565	0	0	0	0	0	0	0	0	0
4581	0	5318	4648	0	0	0	0	1683	786
4598	0	5265	4487	0	0	0	0	1849	1143
4615	0	5263	4352	0	0	0	0	1931	1459
4631	0	5259	4259	0	0	0	0	1977	1622
4648	0	5268	4231	0	0	0	0	1893	1719
4665	0	5276	4173	4937	4064	373	320	1853	1877
4681	0	5294	4184	0	0	0	0	1894	1973
4698	0	5289	4151	4924	4070	349	282	1879	2032
4715	0	5285	4155	4926	4080	361	277	1882	2067
4731	0	5280	4146	4928	4079	369	258	1871	2095
4748	0	5285	4142	4927	4078	365	254	1815	2063
4765	0	5284	4143	4925	4077	364	255	1814	1974
4781	0	5281	4144	4919	4072	361	257	1819	1948
4798	0	5284	4149	4917	4067	352	270	1810	1970
4815	0	5254	4319	4915	4058	358	509	1780	1486
4831	0	0	0	0	0	0	0	0	0
4848	0	0	0	0	0	0	0	0	0
4865	0	2915	6048	0	0	0	0	1270	1607
4881	0	2909	6109	4607	3982	573	-2055	1243	1481
4898	0	2863	5999	0	0	0	0	1113	1682
4915	0	0	0	0	0	0	0	0	0
4931	0	5185	4775	0	0	0	0	1271	529
4948	0	5198	4587	0	0	0	0	1757	942
4965	0	5195	4383	0	0	0	0	1862	1360
4981	0	5179	4273	0	0	0	0	2011	1615
4998	0	5193	4191	0	0	0	0	1871	1778
5015	0	5187	4156	0	0	0	0	1888	1910
5031	0	5212	4143	0	0	0	0	1865	2038
5048	0	5193	4143	0	0	0	0	1854	2037
5065	0	5194	4142	0	0	0	0	1788	1986
5081	0	5193	4148	0	0	0	0	1811	2013
5098	0	5196	4154	0	0	0	0	1816	2015
5115	0	5200	4160	4882	4102	420	268	1850	1973
5131	0	5200	4166	4879	4087	419	278	1835	1986
5148	0	2700	6277	4879	4087	0	0	875	1100
5165	0	5197	4165	4888	4091	422	279	1760	1997
5181	0	5209	4172	4889	4091	418	281	1777	1975
5198	0	5254	4170	4916	4095	392	278	1756	1945
5215	0	5256	4166	4917	4091	390	275	1757	1942
5231	0	5251	4163	4915	4088	392	274	1780	1973
5248	0	5254	4167	4918	4089	390	275	1780	1973
5265	0	5248	4170	4914	4094	391	275	1819	2005
5281	0	5246	4167	4911	4096	395	275	1815	1979
5298	0	5248	4168	4918	4094	397	275	1825	2037
5315	0	5240	4169	4922	4099	413	274	1880	2013
5331	0	5250	4169	4925	4100	409	270	1906	2008
5348	0	5245	4171	4925	4099	415	270	1875	2066
5365	0	5242	4175	4924	4103	419	270	1882	2044
5381	0	5251	4177	4925	4103	412	271	1918	2045
5398	0	5243	4179	4920	4101	413	276	1849	2071
5415	0	5242	4177	4919	4103	412	275	1910	2044
5431	0	5237	4171	4917	4100	414	274	1854	2046
5448	0	5243	4169	4921	4100	414	272	1894	2047
5464	0	5247	4166	4921	4095	409	271	1883	2071
5481	0	5246	4162	4921	4091	409	270	1874	2044
5498	0	5252	4166	4916	4093	398	269	1876	2006
5514	0	5245	4170	4913	4092	401	273	1843	2040
5531	0	5247	4168	4911	4096	396	271	1880	2013
5548	0	5243	4167	4910	4097	397	270	1852	2037
5564	0	5245	4165	4912	4092	398	271	1876	2032
5581	0	5244	4159	4911	4090	399	270	1876	2042
5598	0	5250	4157	4917	4087	400	269	1877	2013
5614	0	5241	4155	4923	4083	409	268	1902	2042
5631	0	5249	4152	4921	4085	408	266	1877	2044
5648	0	5240	4155	4918	4086	413	265	1905	2042
5664	0	5244	4156	4918	4089	412	264	1889	2039
5681	0	5241	4161	4924	4095	419	264	1872	2043
5698	0	5242	4170	4921	4097	415	269	1871	2014
5714	0	2709	6241	4922	4099	0	0	884	1128
5731	0	5240	4166	4923	4101	419	271	1855	2062
5748	0	5242	4174	4923	4101	415	273	1878	2042
5764	0	5243	4170	4925	4098	416	273	1865	2014
5781	0	5246	4166	4923	4095	412	271	1885	2008
5798	0	5235	4158	4914	4092	413	268	1848	1977
5814	0	5205	4436	4919	4071	399	615	1765	1323
5831	0	0	0	0	0	0	0	0	0
5848	0	2872	6085	0	0	0	0	1200	1530
5864	0	0	0	0	0	0	0	0	0
5881	0	2950	6166	0	0	0	0	1460	1457
5898	0	2858	6036	0	0	0	0	1141	1638
5914	0	0	0	0	0	0	0	0	0
5931	0	0	0	0	0	0	0	0	0
5948	0	5252	4715	0	0	0	0	1336	614
5964	0	5229	4504	0	0	0	0	1788	1035
5981	0	5250	4323	0	0	0	0	1936	1422
5998	0	5237	4195	0	0	0	0	1960	1620
6014	0	5235	4144	0	0	0	0	1928	1811
6031	0	5251	4092	0	0	0	0	1887	1921
6048	0	5265	4097	0	0	0	0	1905	2010
6064	0	5252	4087	0	0	0	0	1920	2038
6081	0	5250	4090	4937	4032	415	252	1883	2045
6098	0	5245	4100	4920	4032	412	259	1816	2019
6114	0	5244	4107	4923	4040	415	260	1850	2039
6131	0	5250	4108	4923	4043	408	258	1830	2016
6148	0	5253	4109	4923	4050	403	253	1824	2014
6164	0	5250	4111	4911	4049	399	253	1814	2012
6181	0	5246	4110	4910	4048	398	252	1820	2006
6198	0	5246	4110	4909	4050	396	251	1816	2009
6214	0	5247	4115	4913	4051	396	254	1779	1952
6231	0	5249	4119	4910	4052	393	257	1786	1980
6248	0	5247	4117	4908	4053	393	257	1819	2005
6264	0	5245	4118	4908	4052	395	259	1812	1979
6281	0	5245	4118	4910	4050	396	261	1844	2033
6298	0	5242	4114	4919	4053	404	257	1851	2036
6314	0	5252	4115	4920	4051	402	256	1882	2041
6331	0	5246	4114	4918	4049	405	256	1879	2068
6348	0	5242	4113	4914	4057	408	253	1918	2042
6364	0	5254	4118	4912	4062	397	251	1912	2048
6381	0	5247	4126	4914	4063	403	254	1903	2068
6398	0	5240	4125	4913	4063	408	254	1914	2041
6414	0	5251	4122	4912	4067	399	250	1888	2070
6431	0	5245	4121	4921	4063	412	252	1884	2044
6448	0	5249	4118	4917	4061	408	252	1849	2037
6464	0	5250	4118	4922	4060	408	254	1882	2044
6481	0	5251	4115	4923	4054	407	254	1883	2018
6498	0	5249	4110	4916	4054	403	249	1865	2014
6514	0	5251	4113	4912	4056	398	249	1880	2013
6531	0	5253	4117	4914	4061	396	248	1850	2035
6548	0	5257	4121	4911	4065	391	247	1878	2036
6564	0	5254	4127	4914	4067	392	249	1877	2006
6581	0	5253	4129	4916	4067	393	252	1877	2047
6597	0	5251	4127	4922	4068	398	251	1877	2069
6614	0	5253	4126	4922	4071	400	248	1887	2075
6631	0	5256	4128	4921	4073	398	246	1890	2074
6647	0	5257	4130	4922	4074	397	247	1898	2045
6664	0	5252	4128	4916	4074	397	246	1887	2043
6681	0	5246	4129	4918	4072	403	246	1882	2098
6697	0	5249	4126	4913	4067	401	246	1898	2076
6714	0	5247	4124	4922	4068	406	246	1887	2075
6731	0	5250	4127	4923	4071	406	246	1914	2044
6747	0	5253	4124	4923	4064	404	245	1912	2066
6764	0	5256	4121	4923	4064	402	245	1908	2046
6781	0	5252	4119	4923	4064	403	245	1876	2010
6797	0	5255	4118	4922	4060	400	246	1883	2037
6814	0	5251	4117	4922	4060	402	246	1877	2037
6831	0	5258	4118	4922	4063	397	245	1882	2039
6847	0	5250	4124	4924	4065	404	247	1904	2043
6864	0	5261	4126	4923	4066	393	247	1853	2042
6881	0	5254	4124	4923	4068	402	245	1889	2038
6897	0	5258	4130	4921	4073	394	245	1854	2042
6914	0	5261	4135	4923	4078	395	246	1851	2043
6931	0	5260	4132	4922	4078	395	245	1883	2044
6947	0	5255	4131	4917	4078	394	244	1887	2068
6964	0	5252	4133	4921	4076	400	246	1878	2074
6981	0	5255	4132	4922	4074	400	249	1889	2013
6997	0	5254	4127	4924	4070	403	248	1876	2071
7014	0	5258	4129	4922	4070	399	249	1888	2047
7031	0	5260	4131	4923	4072	397	251	1852	2066
7047	0	5255	4129	4925	4068	400	253	1875	2040
7064	0	5258	4130	4924	4068	397	254	1878	2011
7081	0	5260	4129	4925	4066	397	254	1878	2040
7097	0	5260	4128	4923	4066	395	254	1852	2010
7114	0	5260	4124	4925	4067	395	250	1885	2039
7131	0	5255	4122	4924	4065	399	249	1875	2012
7147	0	5256	4129	4924	4057	396	269	1882	1941
7164	0	5210	4660	4911	4043	335	840	1551	721
7181	0	2844	6010	0	0	0	0	1176	1751
7197	0	2869	6072	4844	4269	0	0	1266	1681
7214	0	0	0	0	0	0	0	0	0
7231	0	2868	6055	5161	4474	761	-2075	1165	1603
7247	0	0	0	0	0	0	0	0	0
7264	0	0	0	0	0	0	0	0	0
7281	0	5296	4696	0	0	0	0	1520	719
7297	0	5266	4484	0	0	0	0	1843	1076
7314	0	5252	4310	0	0	0	0	1986	1449
7331	0	5249	4207	0	0	0	0	1965	1658
7347	0	5263	4168	0	0	0	0	1934	1782
7364	0	5274	4124	0	0	0	0	1928	1937
7381	0	5272	4128	0	0	0	0	1906	2011
7397	0	5267	4115	4938	4033	393	279	1889	2037
7414	0	5263	4113	4922	4073	391	238	1880	2040
7431	0	5264	4124	4926	4063	389	253	1853	2061
7447	0	5269	4135	4925	4071	385	256	1856	2042
7464	0	5268	4140	4917	4074	379	256	1864	2058
7481	0	5262	4142	4921	4080	384	256	1812	1981
7497	0	5262	4146	4923	4080	386	259	1840	2003
7514	0	5257	4151	4922	4081	390	264	1835	2016
7531	0	5267	4151	4923	4084	385	264	1852	2038
7547	0	5263	4150	4920	4084	385	262	1875	2040
7564	0	5264	4150	4924	4085	387	258	1849	2065
7581	0	5263	4148	4926	4084	388	257	1881	2071
7597	0	5259	4150	4928	4085	396	256	1876	2042
7614	0	5284	4223	4941	4112	382	330	1891	2124
7630	0	5328	4406	4980	4186	367	449	1919	2101
7647	0	5315	4499	4971	4255	365	491	1943	2070
7664	0	5290	4475	4957	4235	367	481	1923	2012
7681	0	5287	4483	4954	4241	368	483	1940	2041
7697	0	5280	4487	4954	4243	373	484	1940	2014
7714	0	5287	4492	4953	4242	371	490	1914	2009
7730	0	5265	4492	4953	4240	389	494	1992	2010
7747	0	2702	6272	4951	4240	0	0	855	1142
7764	0	5285	4481	4946	4242	364	486	1911	2014
7780	0	5275	4489	4938	4244	366	486	1913	2006
7797	0	5275	4489	4939	4245	368	485	1879	1980
7814	0	5273	4491	4938	4245	368	487	1853	1975
7830	0	5275	4494	4938	4245	368	489	1883	2013
7847	0	5264	4494	4937	4244	376	490	1909	2038
7864	0	5262	4495	4938	4245	381	492	1910	2037
7880	0	5268	4492	4947	4248	382	489	1908	2012
7897	0	5264	4490	4948	4246	384	486	1885	2034
7914	0	5266	4491	4946	4243	384	486	1968	2054
7930	0	2727	6271	4946	4243	0	0	968	1141
7947	0	5257	4497	4941	4246	388	489	1936	2008
7964	0	5263	4486	4946	4242	388	487	1916	2037
7980	0	5268	4483	4942	4242	384	483	1885	2006
7997	0	5270	4483	4946	4245	381	481	1903	1976
8014	0	5274	4488	4944	4243	377	484	1885	1980
8030	0	5303	4537	4953	4260	342	523	1878	1979
8047	0	5283	4566	4947	4280	354	532	1882	1978
8064	0	5282	4556	4936	4281	353	525	1898	1979
8080	0	5287	4556	4934	4280	348	526	1913	1973
8097	0	5286	4557	4941	4279	352	528	1912	2004
8114	0	5287	4555	4943	4279	352	527	1880	1978
8130	0	5285	4553	4945	4279	353	525	1883	1982
8147	0	5268	4556	4936	4280	364	524	2059	2000
8164	0	5279	4560	4941	4285	359	523	1924	2014
8180	0	5275	4557	4933	4282	359	523	1934	2004
8197	0	5272	4553	4931	4274	360	524	1887	2034
8214	0	5280	4547	4934	4265	358	526	1918	2040
8230	0	5275	4541	4939	4259	359	527	1890	1981
8247	0	5268	4535	4941	4254	367	527	1921	2037
8264	0	5269	4532	4932	4249	366	527	1920	1984
8280	0	5279	4529	4932	4250	357	526	1915	1998
8297	0	5262	4532	4928	4256	369	526	1956	2059
8314	0	5268	4537	4927	4262	363	526	1933	2038
8330	0	5277	4538	4926	4266	355	525	1914	2010
8347	0	5269	4544	4925	4268	358	526	1915	2037
8364	0	5267	4550	4925	4272	358	528	1948	2034
8380	0	5264	4552	4925	4272	361	530	1961	2068
8397	0	5272	4552	4928	4271	359	531	1941	2008
8414	0	5275	4552	4933	4269	357	532	1944	2044
8430	0	5274	4549	4929	4269	356	531	1947	2077
8447	0	5257	4546	4926	4271	370	528	2021	2046
8464	0	5271	4546	4928	4271	359	527	1957	2067
8480	0	5272	4545	4926	4271	358	526	1992	2067
8497	0	5276	4545	4930	4270	356	526	1939	2052
8514	0	5271	4542	4939	4268	365	526	2030	2082
8530	0	5278	4539	4945	4261	368	525	1964	2045
8547	0	5257	4541	4941	4259	383	526	2103	2049
8564	0	5277	4537	4937	4255	364	527	1974	2077
8580	0	5275	4530	4933	4252	361	526	1943	2101
8597	0	5267	4531	4938	4253	371	526	2024	2101
