#FileVersion:	2
#Fileformat:	2558
#Subject:	                                                                                
## Date:	September 19, 2008
#Description:	                                                                                
## of Pts Recorded:	10398                                                                           
#Offset Of Calibration Area:	0	0
#Size Of Calibration Area:	800	600
#Sample Rate:	60
#
#Time	Set	Pupil H	Pupil V	C.R. H	C.R. V	ScreenH	ScreenV	Diam H	Diam V
0	0	5473	4000	5035	3979	426	332	1866	2031
16	0	5462	3997	5029	3979	430	329	1829	2027
33	0	5464	3999	5025	3976	428	329	1835	2027
50	0	5463	3998	5024	3977	429	329	1843	2028
66	0	5462	3998	5028	3980	431	328	1846	2000
83	0	5467	4001	5029	3981	429	328	1863	2032
99	0	5465	4002	5036	3982	431	327	1834	2034
116	0	5471	4008	5033	3984	426	328	1895	2005
133	0	5471	4013	5035	3988	426	330	1876	2029
150	0	5480	4017	5040	3994	421	330	1865	2060
166	0	5476	4020	5042	3995	422	332	1870	2036
183	0	5479	4021	5043	3990	423	335	1903	1999
199	0	5488	4020	5047	3989	418	335	1915	2033
216	0	5480	4017	5041	3988	421	336	1874	2033
233	0	5479	4015	5042	3986	420	336	1872	2037
250	0	5480	4015	5041	3991	421	334	1872	2028
266	0	5557	3978	5086	3987	385	283	1840	2031
283	0	5603	3970	5113	3969	371	287	1834	2004
299	0	5595	3963	5102	3962	369	288	1809	2001
316	0	5596	3965	5101	3963	365	290	1809	1966
333	0	5590	3964	5099	3964	365	290	1778	1935
349	0	5591	3966	5100	3967	365	290	1769	1904
366	0	5586	3968	5099	3967	367	290	1743	1872
383	0	5588	3968	5098	3970	369	290	1740	1893
399	0	5595	3935	5113	3945	374	267	1732	1837
416	0	5601	3921	5119	3950	375	255	1680	1806
433	0	5598	3917	5115	3945	375	252	1617	1776
449	0	5603	3921	5110	3949	368	248	1646	1742
466	0	5602	3922	5113	3952	370	247	1645	1772
483	0	5589	3921	5110	3952	380	246	1569	1740
499	0	5596	3920	5114	3949	378	246	1544	1712
516	0	5600	3921	5109	3948	370	247	1545	1684
533	0	5601	3922	5113	3948	369	248	1518	1706
549	0	5595	3925	5110	3949	370	251	1543	1680
566	0	5595	3924	5108	3951	368	251	1472	1641
583	0	5497	3906	5066	3948	771	95	1483	1641
599	0	5449	3892	5037	3940	945	15	1460	1644
616	0	5451	3891	5035	3935	896	38	1485	1614
633	0	5438	3893	5035	3939	1068	-33	1418	1614
649	0	5440	3893	5034	3942	1042	-28	1452	1584
666	0	5455	3892	5035	3942	895	32	1454	1582
683	0	5450	3895	5026	3943	861	44	1397	1557
699	0	5441	3893	5030	3944	1020	-25	1426	1579
716	0	5439	3892	5025	3946	1068	-49	1414	1578
733	0	5448	3897	5030	3946	934	13	1392	1551
749	0	5445	3898	5026	3947	927	19	1395	1582
766	0	5440	3899	5023	3947	934	18	1394	1575
783	0	5543	3959	5085	3984	401	263	1322	1553
799	0	5625	3968	5125	3983	351	277	1347	1551
816	0	5622	3978	5124	3991	352	280	1351	1549
833	0	5621	3977	5126	3989	355	282	1359	1548
849	0	5630	3969	5122	3984	351	280	1323	1545
866	0	5624	3962	5118	3975	350	277	1354	1516
883	0	5629	3958	5115	3968	346	275	1356	1548
899	0	5610	3955	5109	3964	351	274	1326	1549
916	0	5595	3944	5100	3960	354	269	1353	1551
933	0	5588	3939	5091	3962	356	261	1358	1548
949	0	5588	3943	5092	3967	358	258	1360	1520
966	0	5588	3948	5097	3974	361	257	1354	1522
983	0	5590	3957	5096	3982	361	257	1350	1577
999	0	5597	3963	5093	3986	355	258	1321	1549
1016	0	5594	3964	5089	3989	354	258	1337	1550
1033	0	5584	3960	5094	3986	361	258	1391	1555
1049	0	5584	3961	5090	3982	361	259	1410	1579
1066	0	5588	3963	5090	3982	359	260	1379	1580
1083	0	5581	3960	5086	3983	361	260	1366	1554
1099	0	5586	3959	5087	3982	359	260	1403	1577
1116	0	5585	3957	5086	3981	357	258	1394	1608
1133	0	5583	3954	5089	3980	360	257	1389	1581
1149	0	5588	3953	5087	3974	357	258	1421	1578
1166	0	5602	3962	5109	3982	359	262	1407	1578
1183	0	5658	4039	5134	3998	315	349	1379	1582
1199	0	5664	4009	5137	4003	313	299	1388	1580
1216	0	5651	4020	5136	4003	325	316	1403	1583
1233	0	5653	4023	5141	4004	328	320	1441	1615
1249	0	5655	4028	5132	4005	319	322	1415	1588
1266	0	5654	4029	5137	4005	320	324	1414	1643
1283	0	5644	4029	5133	4004	324	326	1385	1645
1299	0	5641	4026	5135	4005	328	325	1395	1617
1316	0	5648	4025	5134	4005	328	324	1453	1642
1333	0	5651	4026	5135	4003	326	324	1481	1649
1349	0	5578	4025	5093	4001	363	326	1454	1644
1366	0	5440	3984	5024	3994	502	272	1482	1707
1383	0	5402	4001	5019	3985	492	327	1495	1677
1399	0	5408	3999	5021	3986	487	324	1550	1679
1416	0	5403	4003	5017	3986	488	325	1511	1710
1433	0	5406	4001	5015	3986	486	324	1547	1709
1449	0	5392	4001	5013	3986	491	324	1517	1711
1466	0	5403	4002	5012	3986	486	324	1548	1734
1483	0	5398	4001	5013	3989	490	323	1571	1736
1499	0	5402	4001	5013	3991	488	321	1549	1739
1516	0	5397	4003	5013	3991	488	321	1572	1713
1533	0	5395	4003	5005	3990	489	323	1575	1742
1549	0	5397	4002	5008	3986	487	324	1574	1741
1566	0	5402	4000	5007	3984	484	325	1578	1737
1583	0	5399	4002	5005	3986	482	324	1590	1736
1599	0	5396	4005	5001	3987	482	325	1577	1741
1616	0	5385	4005	4996	3988	485	326	1612	1742
1633	0	5398	4010	5016	3993	489	328	1583	1772
1649	0	5493	4068	5046	4028	410	349	1605	1771
1666	0	5515	4048	5064	4000	410	353	1575	1769
1683	0	5514	4055	5071	4006	413	356	1604	1741
